iter	Passed	Remaining
401	11151	16588
402	11175	16555
403	11198	16520
404	11224	16489
405	11245	16452
406	11266	16415
407	11287	16378
408	11309	16341
409	11330	16304
410	11349	16264
411	11372	16231
412	11414	16223
413	11440	16193
414	11466	16163
415	11491	16132
416	11517	16102
417	11562	16098
418	11589	16070
419	11612	16035
420	11635	16002
421	11657	15966
422	11679	15931
423	11700	15894
424	11721	15858
425	11742	15821
426	11760	15782
427	11779	15742
428	11797	15702
429	11816	15663
430	11842	15633
431	11865	15601
432	11888	15567
433	11908	15531
434	11931	15496
435	11953	15462
436	11974	15427
437	11996	15392
438	12014	15353
439	12034	15316
440	12052	15277
441	12073	15242
442	12097	15210
443	12117	15174
444	12139	15140
445	12159	15104
446	12184	15073
447	12212	15047
448	12241	15022
449	12266	14992
450	12293	14964
451	12312	14928
452	12330	14889
453	12348	14851
454	12367	14814
455	12387	14777
456	12410	14746
457	12442	14724
458	12469	14697
459	12495	14668
460	12541	14663
461	12567	14634
462	12592	14605
463	12619	14577
464	12645	14549
465	12681	14532
466	12708	14504
467	12734	14475
468	12760	14446
469	12783	14415
470	12803	14380
471	12823	14345
472	12845	14312
473	12865	14276
474	12885	14241
475	12903	14205
476	12925	14171
477	12946	14138
478	12965	14102
479	12984	14066
480	13004	14031
481	13024	13997
482	13043	13961
483	13072	13937
484	13098	13908
485	13142	13899
486	13177	13881
487	13205	13854
488	13228	13823
489	13250	13791
490	13278	13764
491	13302	13734
492	13323	13702
493	13353	13678
494	13385	13656
495	13413	13629
496	13442	13604
497	13469	13577
498	13491	13545
499	13512	13512
500	13535	13481
501	13562	13454
502	13589	13427
503	13616	13400
504	13639	13369
505	13661	13337
506	13681	13304
507	13701	13270
508	13723	13238
509	13751	13212
510	13778	13185
511	13805	13158
512	13832	13131
513	13859	13104
514	13886	13077
515	13913	13051
516	13939	13022
517	13966	12996
518	13991	12966
519	14014	12936
520	14038	12907
521	14062	12877
522	14083	12844
523	14104	12812
524	14130	12784
525	14153	12754
526	14179	12726
527	14207	12700
528	14236	12675
529	14266	12651
530	14296	12626
531	14324	12601
532	14350	12573
533	14376	12545
534	14399	12515
535	14420	12483
536	14443	12452
537	14467	12423
538	14494	12396
539	14518	12367
540	14544	12339
541	14569	12311
542	14596	12285
543	14627	12261
544	14653	12234
545	14679	12205
546	14703	12176
547	14726	12147
548	14750	12117
549	14778	12091
550	14801	12061
551	14825	12032
552	14847	12001
553	14866	11968
554	14887	11936
555	14907	11904
556	14928	11873
557	14950	11842
558	14971	11810
559	14990	11777
560	15009	11745
561	15028	11712
562	15051	11682
563	15077	11655
564	15103	11628
565	15130	11602
566	15156	11574
567	15176	11542
568	15197	11511
569	15217	11480
570	15238	11448
571	15261	11419
572	15283	11389
573	15304	11358
574	15324	11326
575	15344	11295
576	15360	11261
577	15377	11227
578	15394	11193
579	15408	11158
580	15424	11123
581	15439	11088
582	15457	11056
583	15473	11022
584	15491	10989
585	15510	10958
586	15529	10926
587	15552	10897
588	15578	10870
589	15629	10861
590	15653	10833
591	15680	10806
592	15705	10779
593	15731	10752
594	15756	10724
595	15780	10696
596	15798	10664
597	15816	10632
598	15835	10600
599	15860	10573
600	15884	10545
