iter	Logloss
0	0.6874121018
1	0.6829071281
2	0.6772777848
3	0.6717099953
4	0.6673406267
5	0.6630089559
6	0.6575936458
7	0.6522289213
8	0.6469270492
9	0.6405864461
10	0.6364851807
11	0.6324191631
12	0.6283880692
13	0.6268507876
14	0.6228674839
15	0.6208994333
16	0.6169671526
17	0.613068561
18	0.6092033465
19	0.6053711996
20	0.6034777161
21	0.5996945001
22	0.5959435898
23	0.5922246843
24	0.5865631001
25	0.5809715965
26	0.5773801785
27	0.573819276
28	0.5702886032
29	0.5667878767
30	0.5614407668
31	0.558014964
32	0.5546181226
33	0.5512499704
34	0.5479102372
35	0.5436947981
36	0.5404187108
37	0.5362826321
38	0.5321888664
39	0.528137861
40	0.5241303597
41	0.5210183654
42	0.5170858681
43	0.5155708281
44	0.5125302568
45	0.5086865801
46	0.5057032977
47	0.5027447969
48	0.4998108429
49	0.4969012029
50	0.4940156463
51	0.4911539449
52	0.4883158721
53	0.4855012041
54	0.4827097185
55	0.4799411957
56	0.4771954176
57	0.4744721684
58	0.4731316057
59	0.4704416295
60	0.4670281013
61	0.4628997991
62	0.4595507579
63	0.4562369914
64	0.4536846954
65	0.4527035825
66	0.4501799254
67	0.4476766902
68	0.444484613
69	0.4420273622
70	0.439589904
71	0.437172051
72	0.4347736175
73	0.4317119041
74	0.4293572214
75	0.4270213605
76	0.4247041437
77	0.4224053946
78	0.4201249388
79	0.4178626036
80	0.4156182179
81	0.4133916125
82	0.4111826197
83	0.4089910734
84	0.4061857372
85	0.4027820909
86	0.4006566414
87	0.3985478523
88	0.395233741
89	0.3931673393
90	0.3911170436
91	0.389082703
92	0.3870641681
93	0.3838839676
94	0.3819057067
95	0.3793628373
96	0.3768456236
97	0.3749216157
98	0.3718820275
99	0.3711642395
100	0.3692837558
101	0.3668649731
102	0.3650173026
103	0.3631836972
104	0.3608189268
105	0.3584777245
106	0.3566937143
107	0.3549231796
108	0.3521128083
109	0.3503767687
110	0.348653762
111	0.3479872352
112	0.3452556084
113	0.3430630092
114	0.3408919294
115	0.3392397096
116	0.3371012393
117	0.3354771252
118	0.3333746829
119	0.3312927174
120	0.3297114431
121	0.3281417838
122	0.326583634
123	0.3250368891
124	0.3235014454
125	0.321509983
126	0.3200002335
127	0.3185014503
128	0.3170135341
129	0.3146282193
130	0.3127188423
131	0.3112726671
132	0.3098368851
133	0.308411403
134	0.3069961284
135	0.3055909699
136	0.304195837
137	0.3028106401
138	0.3010072099
139	0.2996446542
140	0.298291744
141	0.2965296545
142	0.2951987276
143	0.2934650343
144	0.2921556419
145	0.2908554238
146	0.2887549646
147	0.287478493
148	0.2862109053
149	0.2849521234
150	0.28370207
151	0.2824606685
152	0.2812278432
153	0.2807448118
154	0.2791389906
155	0.2779290196
156	0.2767273504
157	0.2751540739
158	0.2739713879
159	0.2720505522
160	0.2705203224
161	0.2693691425
162	0.2678596616
163	0.2667264712
164	0.2648815826
165	0.2637684309
166	0.2626627441
167	0.2612131124
168	0.2597735675
169	0.2586945536
170	0.2576227128
171	0.2562143262
172	0.2551589231
173	0.2534337977
174	0.2523967347
175	0.251366489
176	0.2500114639
177	0.2489968483
178	0.2479888607
179	0.2466626795
180	0.2456698903
181	0.244683546
182	0.2437035926
183	0.2420951407
184	0.2411319002
185	0.2395493654
186	0.2382935977
187	0.2373547474
188	0.2364218931
189	0.2354949854
190	0.2342699186
191	0.2330554019
192	0.232149863
193	0.2312500459
194	0.2303559035
195	0.2294673895
196	0.2285844579
197	0.2277070631
198	0.2268351599
199	0.2259687038
200	0.2251076505
201	0.2239676934
202	0.2236285256
203	0.2227820009
204	0.2213812663
205	0.2205486335
206	0.2191696324
207	0.2183506025
208	0.217536593
209	0.2167275636
210	0.2159234747
211	0.2151242866
212	0.2137976976
213	0.2130114207
214	0.2122299032
215	0.2111919074
216	0.2104213682
217	0.2096554638
218	0.2086373815
219	0.2078821739
220	0.2068782669
221	0.2061335596
222	0.2053932842
223	0.2046574058
224	0.2036775459
225	0.2024597576
226	0.2017412223
227	0.2005415877
228	0.1998343207
229	0.1986524908
230	0.1979562657
231	0.1972640963
232	0.1965759514
233	0.1958918
234	0.1949792305
235	0.1943043157
236	0.1936332933
237	0.1929661337
238	0.1923028074
239	0.1916432854
240	0.1909875387
241	0.1903355388
242	0.1894647964
243	0.1888214682
244	0.188181793
245	0.1875457433
246	0.186694185
247	0.1860665418
248	0.1850110244
249	0.1843928465
250	0.1837781332
251	0.1831668587
252	0.1825589975
253	0.1819545241
254	0.1813534136
255	0.1805483961
256	0.1799550824
257	0.1789543177
258	0.1783698033
259	0.177585
260	0.1772971164
261	0.1767217032
262	0.1759490445
263	0.1751824771
264	0.1746186077
265	0.1740578033
266	0.1735000417
267	0.1727511853
268	0.1722004899
269	0.1716527641
270	0.1711079866
271	0.1705661361
272	0.1700271916
273	0.1694911323
274	0.1689579374
275	0.1682398285
276	0.1677133007
277	0.1670041806
278	0.1664842078
279	0.1657841335
280	0.1649069928
281	0.164398079
282	0.1638918368
283	0.1632091463
284	0.1627091269
285	0.1622117166
286	0.161716897
287	0.16122465
288	0.1603862389
289	0.1599008867
290	0.1592457353
291	0.1585953008
292	0.1581191743
293	0.1576454904
294	0.1570061228
295	0.1565381306
296	0.156072525
297	0.1556092895
298	0.1549824136
299	0.1543608696
300	0.1539063104
301	0.1534540457
302	0.1530040599
303	0.1523959079
304	0.1519512364
305	0.1515087921
306	0.1510685602
307	0.150314464
308	0.1497242606
309	0.1492929092
310	0.1487073368
311	0.1482810206
312	0.1478568083
313	0.1472826196
314	0.1468633176
315	0.1464460727
316	0.1460308712
317	0.1456176995
318	0.1449076976
319	0.1444999988
320	0.1440942801
321	0.1436905286
322	0.1432887313
323	0.1428888754
324	0.1424909481
325	0.1419514372
326	0.1415580161
327	0.1408803046
328	0.140492012
329	0.1401055726
330	0.1397209743
331	0.1393382054
332	0.1388188081
333	0.1384403151
334	0.1380636119
335	0.137688687
336	0.1371770269
337	0.1368062776
338	0.1361657498
339	0.1357997397
340	0.1354354394
341	0.1350728381
342	0.134711925
343	0.1343526892
344	0.1339951203
345	0.1336392076
346	0.1332849407
347	0.1329323092
348	0.1325813028
349	0.1322319112
350	0.1318841244
351	0.1315379322
352	0.1311933246
353	0.1308502918
354	0.1303831688
355	0.1300438255
356	0.1297060242
357	0.1293697551
358	0.129035009
359	0.1287017763
360	0.1283700476
361	0.1280398136
362	0.1277110652
363	0.1272629707
364	0.1269377047
365	0.1266138937
366	0.1262915288
367	0.1259706012
368	0.125651102
369	0.1253330225
370	0.1250163542
371	0.1247010883
372	0.1243872165
373	0.1240747302
374	0.123763621
375	0.1234538807
376	0.1231455009
377	0.1228384734
378	0.1225327902
379	0.1219997445
380	0.121470585
381	0.1211708633
382	0.1208724421
383	0.12035147
384	0.1200565928
385	0.1196510569
386	0.1193591986
387	0.1189578515
388	0.1184506908
389	0.1180547242
390	0.1177697008
391	0.1174858908
392	0.1169892609
393	0.1164961663
394	0.1160065736
395	0.1157302255
396	0.1154550403
397	0.1149728132
398	0.1147008051
399	0.1144299348
400	0.1141601955
401	0.1136870757
402	0.1133182175
403	0.1130531023
404	0.112789085
405	0.1123255453
406	0.1118652286
407	0.1114081049
408	0.1110520375
409	0.1106987182
410	0.1102496516
411	0.1099971375
412	0.1096488188
413	0.109398745
414	0.1091496841
415	0.1087112409
416	0.1082757883
417	0.1080312554
418	0.1077877043
419	0.1075451296
420	0.1073035258
421	0.1069705572
422	0.1067312466
423	0.1064014729
424	0.1060735875
425	0.1058378388
426	0.1056030233
427	0.105369136
428	0.1051361718
429	0.104724833
430	0.104494404
431	0.1042648792
432	0.1040362536
433	0.1037210212
434	0.1034945196
435	0.1032689008
436	0.1030441601
437	0.102734246
438	0.1023388349
439	0.102117698
440	0.1017263405
441	0.1015075654
442	0.1012896315
443	0.1010725343
444	0.1008562694
445	0.1006408322
446	0.1004262185
447	0.1002124239
448	0.09999944385
449	0.09962189982
450	0.0994111636
451	0.09920122587
452	0.09899208241
453	0.09878372904
454	0.09857616161
455	0.09836937598
456	0.09816336806
457	0.09787866866
458	0.09767450022
459	0.09731191119
460	0.09710986074
461	0.09690856328
462	0.09670801489
463	0.09650821168
464	0.09630914979
465	0.0961108254
466	0.09575817379
467	0.0955618849
468	0.09521269834
469	0.09501841644
470	0.09482484742
471	0.09463198762
472	0.0942886426
473	0.09394744547
474	0.09375778725
475	0.09356881831
476	0.09323210836
477	0.09297205211
478	0.09278592667
479	0.09260047263
480	0.09241568659
481	0.09223156519
482	0.09190313206
483	0.09172084915
484	0.09139555804
485	0.09121508847
486	0.09103526191
487	0.09071417135
488	0.09053612467
489	0.09035870894
490	0.09004174404
491	0.08986607549
492	0.08969102612
493	0.08951659287
494	0.0893427727
495	0.08916956259
496	0.08885980176
497	0.08868828216
498	0.08838141975
499	0.088211568
500	0.08804230688
501	0.08787363349
502	0.08770554498
503	0.08753803851
504	0.08737111124
505	0.08720476037
506	0.08690676897
507	0.08674201717
508	0.0864467732
509	0.08628359933
510	0.08599106783
511	0.08582945112
512	0.08566838523
513	0.08550786751
514	0.08534789534
515	0.08518846613
516	0.084902377
517	0.0847444559
518	0.08458706798
519	0.08430449406
520	0.08414858767
521	0.08386856651
522	0.08371412245
523	0.08356019513
524	0.08340678215
525	0.08325388106
526	0.08297904195
527	0.08282756441
528	0.08267658971
529	0.08240507503
530	0.08213511869
531	0.08198643381
532	0.08183823877
533	0.08169053129
534	0.08154330912
535	0.08127827656
536	0.08101475147
537	0.08086974119
538	0.08072520378
539	0.08046481408
540	0.08032159369
541	0.08017883796
542	0.08003654476
543	0.07989471199
544	0.07975333753
545	0.0796124193
546	0.07947195524
547	0.07921861791
548	0.07896669731
549	0.0788283065
550	0.07857856277
551	0.07838521701
552	0.07824868318
553	0.07800216023
554	0.07786684349
555	0.07762243281
556	0.07737937056
557	0.077246023
558	0.07711309552
559	0.07698058628
560	0.0768484934
561	0.07660968231
562	0.07647875196
563	0.07634823098
564	0.07621811756
565	0.07608840992
566	0.07595910625
567	0.07572514519
568	0.07559697011
569	0.07546919227
570	0.07523788663
571	0.07511121891
572	0.07488184624
573	0.07465370887
574	0.07442679761
575	0.07430262258
576	0.07417882737
577	0.07405541033
578	0.07393236984
579	0.07370931874
580	0.07348745614
581	0.07326677329
582	0.07304726153
583	0.07282891226
584	0.07270958751
585	0.07259062174
586	0.07247201342
587	0.07235376103
588	0.07213906879
589	0.07192550388
590	0.0717130581
591	0.07159707255
592	0.07148143183
593	0.07136613448
594	0.07115660917
595	0.07094817379
596	0.07074082047
597	0.07062771196
598	0.07042201804
599	0.07030984633
600	0.07019800347
601	0.06999452652
602	0.06988360587
603	0.06968174509
604	0.06948091933
605	0.06928112126
606	0.06917227521
607	0.06906374425
608	0.06886607442
609	0.06866940992
610	0.06856232963
611	0.0684555572
612	0.06834909137
613	0.06815504675
614	0.06796198196
615	0.06785692855
616	0.06775217475
617	0.06764771934
618	0.06745720712
619	0.06726765003
620	0.06716457006
621	0.06706178173
622	0.06695928386
623	0.06677221421
624	0.06667053271
625	0.06648489966
626	0.06630018789
627	0.06611639105
628	0.06601654826
629	0.06583415289
630	0.06565265651
631	0.06555410531
632	0.06545582767
633	0.06527619043
634	0.06509743332
635	0.06500041912
636	0.06482300984
637	0.06472675153
638	0.06455067582
639	0.06445516515
640	0.06435991612
641	0.06426492769
642	0.06409109343
643	0.06391809994
644	0.06382431634
645	0.06365261002
646	0.06355954726
647	0.06346673663
648	0.06337417714
649	0.06320463407
650	0.06311278226
651	0.0629444904
652	0.06277700216
653	0.06261031219
654	0.06244441518
655	0.06235460282
656	0.06226503012
657	0.06217569616
658	0.06208660004
659	0.06192318463
660	0.0618347593
661	0.06174656837
662	0.06165861094
663	0.06157088613
664	0.06148339307
665	0.06139613089
666	0.0613090987
667	0.06122229566
668	0.06113572089
669	0.06104937355
670	0.06096325277
671	0.06080511006
672	0.06064770409
673	0.06056263387
674	0.06040635488
675	0.06032191324
676	0.06023769105
677	0.06015368751
678	0.05999930189
679	0.05991591588
680	0.05976262687
681	0.059679852
682	0.05959729042
683	0.05951494135
684	0.05943280401
685	0.05935087761
686	0.05920018202
687	0.05905017511
688	0.05896922828
689	0.05888848805
690	0.05880795365
691	0.05865973327
692	0.0585797808
693	0.05843259577
694	0.05835321931
695	0.05827404374
696	0.05819506832
697	0.05804962233
698	0.05790483164
699	0.05782678665
700	0.05774893774
701	0.05760549801
702	0.05752820387
703	0.05745110311
704	0.05737419505
705	0.05723243187
706	0.05715606914
707	0.05701527818
708	0.05693945536
709	0.05686382067
710	0.05678837344
711	0.05664921522
712	0.05651067293
713	0.05637274274
714	0.05629850771
715	0.05616151278
716	0.05602512039
717	0.0559517383
718	0.05587853573
719	0.05574338452
720	0.05567069059
721	0.05553644809
722	0.05546425782
723	0.05539224289
724	0.0553204027
725	0.05524873664
726	0.05517724411
727	0.05510592451
728	0.05497413865
729	0.0549033093
730	0.05483265058
731	0.0547621619
732	0.05463186234
733	0.05456185586
734	0.05449201718
735	0.05442234571
736	0.05435284088
737	0.05422430211
738	0.05415527001
739	0.05408640235
740	0.05401769858
741	0.05389059426
742	0.05376403224
743	0.05369609335
744	0.05362831518
745	0.05356069719
746	0.05349323884
747	0.05342593958
748	0.05330135202
749	0.05317729171
750	0.05311073538
751	0.05298748
752	0.05292136827
753	0.05279891042
754	0.0527332391
755	0.05261157146
756	0.0525463364
757	0.05248125295
758	0.05241632062
759	0.0523515389
760	0.05223146812
761	0.05216711431
762	0.05204781199
763	0.05198388209
764	0.05186534125
765	0.05174729199
766	0.0516840531
767	0.0516209592
768	0.05155800982
769	0.05149520448
770	0.05143254271
771	0.05131628108
772	0.05125402752
773	0.05119191571
774	0.0511299452
775	0.05106811552
776	0.05100642621
777	0.05094487682
778	0.05088346688
779	0.05082219595
780	0.05070843624
781	0.05064756073
782	0.05058682248
783	0.05052622106
784	0.05046575601
785	0.0504054269
786	0.05034523329
787	0.05028517473
788	0.0502252508
789	0.05016546106
790	0.05010580507
791	0.04999495335
792	0.04993567807
793	0.04982551237
794	0.04971578996
795	0.04965713569
796	0.04959861154
797	0.04948979982
798	0.04943164617
799	0.04932350259
800	0.04926571612
801	0.04915823485
802	0.04910081226
803	0.04904351586
804	0.04898634527
805	0.0488799753
806	0.0488231631
807	0.04871744003
808	0.04861213522
809	0.04855590782
810	0.04845124071
811	0.04839536333
812	0.04833960728
813	0.04823579158
814	0.04818038139
815	0.04812509107
816	0.04806992026
817	0.04801486857
818	0.04795993565
819	0.04790512111
820	0.0478504246
821	0.04774852378
822	0.04764701998
823	0.04754591101
824	0.04749198512
825	0.0474381745
826	0.0473844788
827	0.04733089766
828	0.04723101426
829	0.04717775995
830	0.04712461885
831	0.04702553182
832	0.04697271373
833	0.04692000752
834	0.04686741284
835	0.04676931506
836	0.04671703868
837	0.04661951734
838	0.04656755652
839	0.0464706068
840	0.04641895883
841	0.04636741917
842	0.04627123258
843	0.04617541186
844	0.04612438159
845	0.04607345777
846	0.0459783875
847	0.04588367709
848	0.04578932462
849	0.04573909727
850	0.0456452901
851	0.04559536084
852	0.04554553473
853	0.04549581146
854	0.04544619073
855	0.04539667222
856	0.0453041513
857	0.04521197664
858	0.0451629394
859	0.04511400266
860	0.04506516612
861	0.04501642949
862	0.04496779247
863	0.04491925477
864	0.04487081609
865	0.04482247614
866	0.04477423463
867	0.04472609128
868	0.04467804579
869	0.04463009788
870	0.04454042939
871	0.04449276047
872	0.04444518802
873	0.04439771177
874	0.04435033142
875	0.0443030467
876	0.04425585733
877	0.04416756777
878	0.04407960221
879	0.04403286225
880	0.04398621606
881	0.04389891444
882	0.04385253649
883	0.04380625127
884	0.04376005849
885	0.04367358188
886	0.04362765364
887	0.04354165851
888	0.04345597548
889	0.04337060295
890	0.04332527628
891	0.0432800393
892	0.04323489176
893	0.0431898334
894	0.04310542228
895	0.04306061922
896	0.04297667321
897	0.0429321234
898	0.04284863885
899	0.04280434023
900	0.04272131351
901	0.04267726407
902	0.0426333007
903	0.04258942314
904	0.04254563116
905	0.04250192451
906	0.04245830296
907	0.04237651069
908	0.04233313289
909	0.04228983926
910	0.04224662956
911	0.04220350355
912	0.04216046101
913	0.0421175017
914	0.04207462538
915	0.04199419269
916	0.04195155419
917	0.04187155557
918	0.04182915301
919	0.04178683189
920	0.041744592
921	0.04166532107
922	0.04158632812
923	0.04154447203
924	0.04150269587
925	0.04146099942
926	0.04138272105
927	0.04130471571
928	0.04126339605
929	0.04118580614
930	0.04110848585
931	0.04106753813
932	0.04099062805
933	0.04091398423
934	0.04087340369
935	0.04083289957
936	0.04079247167
937	0.04071651206
